wl,W2.P,W4.P,W10.P,W12.P,W16.P,W26.P,Y16.P,Y19.P,Y27.P
317.815216,6.477204,4.901367667,8.33931,11.956858,9.550774,8.001196333,5.064994333,5.054277333,7.403731667
318.184967,6.484089,4.914619667,8.35713,11.98561133,9.444385667,8.005332,5.08778,5.014201,7.375287
318.554688,6.500978667,4.980464,8.288790333,12.02445633,9.48363,8.036207333,4.942161667,5.001122667,7.322103667
318.924377,6.474648333,5.070829,8.228136667,12.126006,9.410666,8.122558333,5.002318333,5.020412667,7.286619333
319.294037,6.538529,5.030699667,8.166517667,12.11201167,9.335868667,8.114190667,5.010103,4.945530667,7.265351
319.663696,6.462091333,5.092573667,8.026734333,12.058585,9.308806667,8.062158333,5.040705333,4.908631333,7.248631333
320.033295,6.428779333,4.999286,7.974350667,12.09457633,9.314318333,8.070126,5.076394333,4.909310667,7.300962
320.402924,6.451757333,4.948421333,7.891686333,12.01933233,9.177175667,8.042823333,5.063677667,4.825996333,7.277125333
320.772461,6.454426667,4.968958,7.895243333,12.06864633,9.147221667,8.080021667,5.128316333,4.789176667,7.277431
321.141968,6.492631333,4.952679,7.918326333,12.17986867,9.044013667,8.069019667,5.196550333,4.862758333,7.266805333
321.511475,6.460161,4.901185333,7.927145667,12.213451,8.952794667,8.085430667,5.260285333,4.895731,7.349937
321.88092,6.448131,4.888317333,7.886532667,12.17314867,8.913088667,8.054742,5.2406,4.958279,7.225998
322.250366,6.408547,4.830332,7.920051333,12.156618,8.987610333,8.081578333,5.315536,4.928029,7.170076333
322.619751,6.425333333,4.726553,7.872393333,12.267018,8.977622333,8.071388,5.403426,4.899430333,7.144545
322.989136,6.456024333,4.770629333,7.892934333,12.22449967,9.072549333,8.105290333,5.482876667,4.893917667,7.202844
323.35849,6.432051,4.680276333,7.837819,12.32954533,9.078881333,8.046206333,5.551986,4.952606333,7.177548
323.727814,6.405254333,4.715126333,7.823633,12.29563767,9.067634333,8.039035333,5.544394,4.923795333,7.191495
324.097107,6.453298667,4.744498667,7.798261,12.222574,9.173231333,8.113301667,5.504295,4.981631,7.165812667
324.466339,6.425352333,4.646996,7.767264,12.14612767,9.179164333,8.186595,5.462652,4.939577667,7.157975
324.835541,6.529368,4.611872667,7.745143,12.15874933,9.212360667,8.230168333,5.471865667,5.030919667,7.217913
325.204712,6.494890667,4.692569333,7.643415667,12.23283333,9.2015,8.295064667,5.490906,5.034696667,7.231158333
325.573914,6.440059,4.754583667,7.677577333,12.29451567,9.158827667,8.388172667,5.480108,4.972831333,7.362303667
