wl,PgBW1.W,PgOB1.W,PgOB2.W,PgOB3.W,PgOB4.W,PgSY1.W,PgSY2.Y,PgSY3.W,PgSY4.W,PgSY5.W
375.855927,76.10376767,62.83902733,19.517629,59.81549967,47.976017,70.93320733,10.264297,87.88721467,86.84657,82.05975067
376.220734,76.13095633,62.761044,19.54859367,59.86692933,48.034219,70.84005233,10.31040333,87.743006,86.93040967,81.976509
376.585541,76.238017,62.75575767,19.56135467,59.97732767,47.966563,70.841024,10.457638,87.589035,87.21375767,81.91179133
376.950287,76.343684,62.770808,19.57211,60.03380067,48.10045867,70.878759,10.535808,87.44235,87.46744533,81.91938533
377.315002,76.31331367,62.777791,19.61194667,60.01765833,48.04839067,70.82389333,10.580827,87.435023,87.709526,82.155866
377.679688,76.483658,62.71165333,19.56531333,60.10212067,48.20241967,70.76360567,10.62160733,87.458852,87.88891333,82.19951633
378.044373,76.57633467,62.665549,19.59503433,60.00300733,48.231682,70.79521933,10.67790633,87.34138,88.25203967,82.22777833
378.408997,76.677137,62.56849533,19.65763933,59.94718933,48.14147933,70.708509,10.683036,87.308909,88.63565067,82.23937233
378.773621,76.68055467,62.58926633,19.68168567,59.99081433,48.193344,70.72483567,10.72945567,87.13462567,88.90881833,82.27972933
379.138184,76.60052267,62.51551167,19.71534867,59.97278333,48.212762,70.761767,10.80877733,87.234647,88.913765,82.29805033
379.502716,76.55922967,62.49332067,19.79370433,59.94628667,48.188104,70.76690167,10.91267267,87.34327433,89.198527,82.30194333
379.867188,76.46660367,62.49555833,19.85842233,60.059606,48.225792,70.724312,10.90209433,87.22142033,89.45008833,82.34155
380.231659,76.45890567,62.57511533,19.86896633,60.118056,48.25457633,70.64356733,10.95796867,87.19106033,89.66166167,82.37977833
