wl,W1,W2,W3,W4,W9,W10,W11,W12,W14,W16,W17,W18,W19,W20,W20.1,W21,W22,W23,W24,W25,W26,W27
629.056519,62.626059,36.06369,48.02268833,47.50402967,36.39323167,42.14450333,42.512614,33.95898233,29.67809367,59.31470133,38.21566033,35.644087,46.98197033,37.832754,56.269928,53.028702,58.323695,35.787852,51.27092833,59.834806,35.38994333,28.22495333
629.393494,62.75881333,36.01471467,48.073606,47.566147,36.472026,42.10905967,42.65704333,33.971248,29.614112,59.448705,38.29161467,35.60771167,47.093329,37.85835767,56.314448,52.95358533,58.32422167,35.76402033,51.27351633,59.83404667,35.37721133,28.248928
629.730469,62.88160967,36.03451533,48.09414933,47.63042567,36.537379,42.09429067,42.63943367,33.95812833,29.581588,59.520392,38.30823,35.62310033,47.16179267,37.90098,56.29542433,52.97076667,58.34897367,35.70625067,51.24847167,59.875491,35.37076167,28.27557833
630.067383,62.85342033,36.064705,48.12161,47.625384,36.65010467,42.13537867,42.68521533,33.95527267,29.65534333,59.59459833,38.477173,35.664516,47.26167467,37.93603233,56.408981,52.99872967,58.496554,35.76631167,51.17657967,60.011416,35.41386267,28.240823
630.404297,62.770406,36.08425267,48.180532,47.65109367,36.701008,42.10686367,42.70443767,34.06083933,29.71367433,59.63747533,38.456242,35.664785,47.2979,37.98647067,56.453855,53.04957433,58.527092,35.79083667,51.170213,60.02765033,35.50401933,28.314472
630.74115,62.71841433,35.97397467,48.19163633,47.68429667,36.73005533,42.131958,42.72973233,34.07267567,29.73677267,59.61987833,38.549971,35.73650933,47.380189,38.001269,56.49572133,53.133783,58.575447,35.71274167,51.177686,60.083218,35.63833133,28.35650367
631.077942,62.861402,35.930097,48.20167933,47.687996,36.774226,42.19188567,42.81691233,34.08473033,29.81087867,59.69661833,38.619924,35.79934,47.41907533,38.082681,56.50507233,53.164772,58.672368,35.78218967,51.071435,60.18151467,35.66935733,28.342477
631.414673,62.813648,35.97019567,48.226096,47.75402067,36.78516767,42.20842133,42.92935433,34.10300433,29.807301,59.72963467,38.67350633,35.85350167,47.33438367,38.05347533,56.545437,53.133405,58.69626,35.83367767,51.15143567,60.25256367,35.781685,28.32925867
631.751404,62.85239667,35.950021,48.16405633,47.691461,36.866628,42.221546,43.03154267,34.146516,29.83485767,59.824346,38.772929,35.921767,47.378984,38.03648367,56.53006,53.17619967,58.73477167,35.85230767,51.14179367,60.33849333,35.814313,28.34292333
632.088074,62.969069,36.00042367,48.21608233,47.65835933,36.93964367,42.324029,43.05726633,34.061276,29.73378733,59.868805,38.81874733,35.91459667,47.50635133,37.97610233,56.598146,53.21668867,58.73445767,35.93525033,51.20609033,60.529456,35.750684,28.3112
632.424622,63.01719933,35.95450433,48.20508733,47.688422,36.98215,42.37715267,43.10027167,34.09635267,29.76780567,59.92160567,38.81515533,35.90177867,47.56533567,38.09616767,56.64915733,53.20881033,58.894764,36.00317,51.22622933,60.61789433,35.78065233,28.29819467
632.761169,63.05809267,35.969186,48.26650733,47.687,37.12876167,42.43368167,43.171959,34.13518367,29.835767,60.00174467,38.84054833,35.926,47.64269533,38.21143867,56.61595667,53.22654067,58.846817,36.077793,51.28594233,60.59772233,35.85032533,28.358896
633.097717,63.21272267,36.02505633,48.249725,47.691386,37.273384,42.41157433,43.18217833,34.17996633,29.831182,60.03741367,38.89616033,35.902297,47.72082133,38.204419,56.59438433,53.294482,58.87887067,36.06520967,51.38223167,60.71639733,35.87265633,28.40794967
633.434204,63.30721033,36.12986733,48.21522,47.724794,37.38893133,42.349238,43.19867467,34.20601333,29.89829567,60.09028267,38.88902167,35.936418,47.83908833,38.269577,56.71409967,53.39758267,58.771707,36.16454733,51.459138,60.80210367,35.89354833,28.356506
