wl,Y1,Y2,Y3,Y4,Y5,Y6,Y9,Y10,Y11,Y12,Y13,Y14,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27
310.043243,19.50958833,9.590302,13.17237567,12.12792733,11.174031,13.28182033,12.519361,9.803808333,12.59588133,11.909604,18.57756933,11.53255067,18.332884,19.36117933,21.859878,16.493866,14.37317767,12.54379033,16.350345,10.07631367,15.05677633,19.233453,13.76827467
310.413635,19.54222033,9.658726,13.11579933,12.15559767,11.15788267,13.19920333,12.55234833,9.849290333,12.56896967,11.867419,18.58264633,11.51458533,18.27730433,19.43114533,21.88147067,16.41738133,14.314775,12.559395,16.39971233,10.082255,15.044945,19.29885667,13.79078233
310.784027,19.538162,9.608494667,13.099649,12.19525133,11.08354233,13.176586,12.566782,9.827123667,12.49480233,11.85789567,18.56446,11.50522067,18.22627433,19.341023,21.92173233,16.38864167,14.30741033,12.556144,16.435081,10.00334467,15.05332067,19.21717867,13.86019133
311.154327,19.55035567,9.645405667,13.115566,12.160942,11.06947833,13.192842,12.59142,9.763368333,12.45239767,11.87615333,18.599905,11.57412133,18.21660833,19.29471267,21.85630733,16.32893367,14.28210433,12.55571567,16.413084,9.943794,15.03271233,19.17935033,13.82753367
311.524628,19.568905,9.661986667,13.11813867,12.168621,11.12277567,13.19045,12.57581933,9.792214667,12.40260067,11.91007633,18.52403233,11.51770933,18.13277067,19.28269133,21.82852367,16.185178,14.277953,12.507908,16.45923567,9.952186333,15.01021067,19.147682,13.86604633
311.894928,19.57886267,9.598320667,13.09164133,12.13278367,11.06044833,13.23870533,12.55260567,9.802475333,12.28878067,11.960768,18.586271,11.41553533,18.04871167,19.240357,21.804367,16.11408633,14.22136467,12.39049467,16.44071967,9.915182667,14.95137267,19.14493467,13.927711
312.265167,19.57080667,9.593016,13.12682633,12.11464333,11.090471,13.23460767,12.54240233,9.831523,12.258066,11.98409067,18.57929667,11.39795967,17.99371967,19.18086567,21.885677,16.012374,14.21986433,12.44347633,16.46146333,9.983165333,14.92646633,19.11790733,14.04962833
312.635345,19.671307,9.635561,13.20569933,12.17536867,10.99743133,13.244479,12.540016,9.862498333,12.23531133,11.97246033,18.54570433,11.42068967,17.956144,19.085584,21.85733667,16.02797467,14.310091,12.43307767,16.49615267,9.982044667,14.898361,19.078555,14.06495667
313.005524,19.70957367,9.694266,13.28186233,12.16662567,10.94706933,13.24122167,12.52621533,9.847753333,12.252356,12.02321067,18.48418167,11.401734,17.874361,19.015796,21.90485933,15.97544667,14.31134433,12.47584567,16.436069,10.01332133,14.820758,19.047098,14.02666033
313.375671,19.75628833,9.704335333,13.336524,12.186602,10.87761633,13.27153067,12.53265467,9.932782333,12.24111667,11.984014,18.47477533,11.363284,17.809496,18.991656,21.977644,15.97411267,14.34372333,12.48123533,16.36637,9.945174667,14.84368067,18.986665,14.08239333
313.745819,19.769371,9.678255333,13.348625,12.14801767,10.91039433,13.319674,12.57213467,10.064845,12.24263133,12.02660533,18.452525,11.319873,17.74345367,18.93762267,21.935758,15.95931233,14.365145,12.46052633,16.34695067,9.970822667,14.90824233,19.02392333,14.01675333
314.115906,19.686718,9.633796333,13.36338367,12.235471,10.962724,13.39455967,12.529766,10.06048533,12.175766,11.99746167,18.38840867,11.334675,17.71470167,18.946715,21.89164733,15.99944333,14.35071767,12.45691567,16.40561167,9.918643333,14.93006733,18.98278133,14.03127433
314.485962,19.67253167,9.598395,13.46057,12.26199633,10.97813867,13.36832533,12.50617967,10.12445567,12.20541633,11.99493267,18.392726,11.24535,17.73631633,18.910481,21.92552833,16.01413933,14.427572,12.41506667,16.323782,9.919090333,14.90724667,18.85425133,14.07100233
314.855988,19.70158867,9.531682667,13.49077467,12.25960433,10.92501767,13.332607,12.50963433,10.14086033,12.18529933,11.99924167,18.37428533,11.193989,17.743494,18.826118,21.803786,15.97441433,14.36509033,12.33303333,16.32930833,9.936658,14.80825467,18.919203,14.02104233
315.225983,19.70252567,9.452338,13.60612533,12.239474,11.03667967,13.29947867,12.55322767,10.21443733,12.17255567,11.989625,18.42423833,11.17312633,17.68222633,18.758367,21.80031667,15.876956,14.32043167,12.32056867,16.26311467,9.924928667,14.777211,18.75950833,14.07248667
315.595947,19.68783767,9.470878,13.681517,12.27107667,11.03172033,13.371816,12.50709833,10.16506333,12.160544,11.95693533,18.32345633,11.17710267,17.53238033,18.797226,21.85615167,15.840494,14.26225433,12.15648867,16.265443,9.843669667,14.72209,18.79106967,14.10541733
315.965912,19.67615667,9.432609,13.723512,12.32896167,10.974728,13.32766833,12.559655,10.13761633,12.20748633,11.93682933,18.35019567,11.13946967,17.43505767,18.79680567,21.875293,15.78264967,14.318488,12.14434067,16.222951,9.79211,14.71513867,18.74078433,14.040894
316.335815,19.65818967,9.496658667,13.78201167,12.33950267,11.02986067,13.330788,12.58983267,10.120368,12.05846367,11.920187,18.42384467,11.103895,17.19556733,18.698203,21.89739733,15.744689,14.32684233,12.196208,16.200769,9.879560333,14.664903,18.777337,14.02761533
316.705688,19.784618,9.522793,13.83038267,12.40955567,10.96914933,13.360666,12.58223933,10.24221767,12.09659067,11.906154,18.52854867,11.10445667,17.13722533,18.64069667,21.81737767,15.76131533,14.30795467,12.15157933,16.20264,9.900262333,14.55806733,18.775252,14.10969167
