wl,AkBW1.Y,AkBW2.W,AkOB2.WY,AkOB3.Y,AkOB4.Y,AkOB5.Y,AKOB6.Y,AkOB7.Y,AkOB8.Y,AkSY1.Y,AkSY2.Y,AkSY3.WY,AkSY4.Y,AkSY5.WY
333.687775,9.363269,77.47991667,9.334184,18.32060967,12.00790233,5.69311,7.230594,10.212064,10.717009,7.477379333,15.71828567,17.36733033,4.769704,26.09585933
334.056244,9.418128667,77.56175967,9.212856667,18.29618367,11.99593033,5.708277667,7.242437667,10.23608867,10.696081,7.412598333,15.73996767,17.41339933,4.748459,26.04534267
334.424683,9.493370667,77.65157933,9.216286667,18.22413267,11.93808633,5.742591,7.21374,10.25965833,10.68412133,7.383179667,15.723674,17.485817,4.785266,26.09828967
334.793091,9.520179333,77.610396,9.164462667,18.177576,11.987304,5.745973,7.116052333,10.13541367,10.72123067,7.371534667,15.63452067,17.55096567,4.693838333,26.07864167
335.161499,9.510164667,77.58419767,9.225123667,18.083134,11.98581767,5.712204667,7.058322,10.10283967,10.67072433,7.338861667,15.610035,17.61940433,4.735791667,26.05376733
335.529785,9.463810333,77.581449,9.267288333,18.037328,11.97132433,5.670327333,7.055840667,9.914634667,10.63794567,7.34108,15.65235133,17.67053833,4.598899333,26.03598633
335.898132,9.382565333,77.39213567,9.238496333,18.03327533,12.01558233,5.688259333,6.927451667,9.930727,10.48238567,7.305954,15.62811733,17.714169,4.562691333,26.06222467
336.266388,9.411934,77.40172167,9.259499333,18.03832567,11.961273,5.821587333,6.887497667,9.890468333,10.490664,7.264082,15.635141,17.688829,4.485464,26.11882467
336.634613,9.468034333,77.55840567,9.285016,17.992579,11.92411933,5.813328333,6.919327,9.873229667,10.35174767,7.189701,15.665746,17.74033533,4.387074333,26.214892
337.002838,9.352906333,77.53285467,9.266238333,17.94794533,11.882837,5.812542667,6.990772333,9.838762667,10.33474667,7.036216333,15.67064833,17.682186,4.345365667,26.203768
337.371033,9.352095,77.70195,9.261471,17.857302,11.896535,5.759546667,6.965940333,9.898079333,10.26342267,6.974724667,15.576457,17.69588733,4.341724,26.27897967
337.739197,9.370094,77.59150667,9.246737667,17.78341933,11.95799067,5.711437,6.996846,9.954436,10.18316,6.995532333,15.49189967,17.75311533,4.427655,26.266434
338.10733,9.381819667,77.59895067,9.237282667,17.81957333,11.98979633,5.819928,7.064527333,9.945422667,10.18403033,7.021582,15.422048,17.75546067,4.418783333,26.24197467
