wl,W1.2.W.N,W11.2.W.N,W13.2.WY.N,W15.2.W.N,W25.2.W.N
427.327393,53.700849,59.993304,36.389286,64.723713,82.402814
427.687439,53.753001,59.967107,36.388181,64.95986467,82.52267433
428.047394,53.781509,59.95816567,36.36045433,65.15680933,82.60696433
428.407379,53.751714,59.97991933,36.40997433,65.36308167,82.66811867
428.767303,53.75063967,59.97402067,36.41562267,65.64867267,82.733218
429.127167,53.71369933,60.02016567,36.440099,65.87827833,82.871961
429.487061,53.742022,60.04499433,36.56890967,66.14989967,82.95676167
429.846863,53.69864767,60.108733,36.607235,66.470754,83.063591
430.206665,53.63939767,60.143978,36.65826533,66.694626,83.10858133
430.566437,53.63180133,60.18614433,36.70845167,67.00500367,83.16787967
430.926117,53.621965,60.149469,36.68162933,67.332209,83.28256467
431.285828,53.567314,60.22795767,36.64027267,67.564237,83.311821
431.645447,53.61652233,60.21507667,36.55371867,67.76084767,83.40670267
432.005035,53.53224967,60.17341867,36.58522133,67.95028433,83.461454
432.364655,53.56389233,60.163067,36.567441,68.18287933,83.53954567
432.724182,53.46968233,60.23113233,36.58575067,68.45553067,83.51385
433.08371,53.485527,60.27062333,36.57226433,68.70013933,83.602145
433.443207,53.41596467,60.24000933,36.55789733,69.03530633,83.55573533
433.802582,53.37492133,60.22203833,36.606814,69.24990233,83.697642
434.162018,53.400889,60.20157767,36.61868667,69.36137767,83.796946
434.521362,53.37629567,60.16133767,36.608672,69.55619167,83.73604833
434.880676,53.39183067,60.15213033,36.559198,69.705822,83.62866967
435.23999,53.403416,60.13801667,36.589769,69.91784167,83.52897633
435.599243,53.39896,60.15722633,36.543003,70.05394267,83.45380167
435.958496,53.36499667,60.05894367,36.59692033,70.17074967,83.48063667
436.317657,53.33428833,60.05307767,36.606163,70.22815433,83.50722
436.676819,53.372414,60.054165,36.59177133,70.36448933,83.52319333
437.03595,53.354117,60.12408367,36.444865,70.48604733,83.58755
437.39502,53.310173,60.028282,36.43230567,70.64820133,83.538907
437.754059,53.26588067,60.05565667,36.42249833,70.802831,83.50075767
438.113068,53.228137,60.11568433,36.418283,70.965818,83.461642
438.472046,53.226421,60.08141467,36.41520667,71.09867867,83.439527
438.830994,53.23488967,60.10898233,36.401965,71.148079,83.46990733
439.189911,53.153763,60.05358367,36.42034367,71.29119633,83.37592567
439.548798,53.20260233,60.025969,36.357455,71.410118,83.35486567
439.907593,53.21249133,60.01841867,36.422484,71.49656667,83.36818433
440.266388,53.19456733,60.00595467,36.472412,71.55147933,83.301229
440.625122,53.180233,59.94588967,36.45456033,71.60130067,83.22365833
440.983856,53.154209,59.970206,36.46723067,71.710148,83.23297633
441.342621,53.175728,60.02893067,36.43211367,71.75857167,83.07646167
441.701263,53.159444,59.99378833,36.400777,71.927275,83.04150867
442.059875,53.183455,59.93726867,36.45367967,71.96354433,82.98188267
442.418457,53.162772,59.96053067,36.46195067,72.072225,83.06685367
442.777008,53.106299,59.98224,36.436656,72.12745167,83.11220033
443.135498,53.06741967,59.98917133,36.45815433,72.236651,83.05469767
443.493958,53.02885567,60.09289567,36.47155767,72.39280567,83.00204233
443.852448,53.07007833,60.08836767,36.471367,72.46633533,83.060478
444.210876,53.02579,60.05351233,36.49733133,72.60140233,83.03297667
444.569214,52.97767633,59.99442033,36.57002033,72.655,83.024134
444.927551,53.00549833,60.04492567,36.55176,72.72399,83.09781167
445.285858,53.00401567,60.04584633,36.55265067,72.81074033,83.09926133
