wl,PgBW8.W,PgBW10.W
495.792938,50.380315,50.466251
496.145935,50.33026633,50.738636
496.498871,50.33249267,50.84560767
496.851837,50.321575,51.03327933
497.204681,50.359511,51.20428833
497.557587,50.374227,51.33739867
497.910431,50.41329433,51.37604267
498.263184,50.432205,51.42866867
498.615936,50.445244,51.417875
498.968628,50.403674,51.39367667
499.321289,50.40941867,51.41001633
499.67392,50.39821367,51.41682567
500.026489,50.37850333,51.43546267
500.379089,50.34097933,51.518288
500.731598,50.30255633,51.51433967
501.084076,50.261439,51.52042267
501.436493,50.19728767,51.523866
501.788879,50.15479167,51.56092433
502.141205,50.20533233,51.62693933
502.49353,50.180982,51.562686
502.845795,50.17742167,51.60676333
